,id,ts,pred_val
18917,10906,2023-01-13 04:24:11,0.3569206
18918,10913,2023-01-13 04:31:10,0.3569206
18919,10921,2023-01-13 04:39:10,0.3569206
18920,10931,2023-01-13 04:49:10,0.3569206
18921,10939,2023-01-13 04:57:11,0.3569206
18922,10942,2023-01-13 05:00:10,0.3569206
18923,10943,2023-01-13 05:01:10,0.3569206
18924,10945,2023-01-13 05:03:09,0.3569206
18925,10948,2023-01-13 05:06:09,0.3569206
18926,10954,2023-01-13 05:12:10,0.3569206
18927,10959,2023-01-13 05:17:10,0.3569206
18928,10963,2023-01-13 05:21:10,0.3569206
18929,10965,2023-01-13 05:23:10,0.3569206
18930,10967,2023-01-13 05:25:10,0.3569206
18931,10968,2023-01-13 05:26:10,0.3569206
18932,10972,2023-01-13 05:30:10,0.3569206
18933,10974,2023-01-13 05:32:10,0.3569206
18934,10976,2023-01-13 05:34:09,0.3569206
18935,10979,2023-01-13 05:37:10,0.3569206
18936,10981,2023-01-13 05:39:10,0.3569206
18937,10984,2023-01-13 05:42:10,0.3569206
18938,10988,2023-01-13 05:46:10,0.3569206
18939,10991,2023-01-13 05:49:09,0.3569206
18940,10992,2023-01-13 05:50:10,0.3569206
18941,10998,2023-01-13 05:56:10,0.3569206
18942,11006,2023-01-13 06:04:10,0.3569206
18943,11007,2023-01-13 06:05:10,0.3569206
18944,11016,2023-01-13 06:14:10,0.3569206
18945,11017,2023-01-13 06:15:10,0.3569206
18946,11021,2023-01-13 06:19:10,0.3569206
18947,11022,2023-01-13 06:20:10,0.3569206
18948,11023,2023-01-13 06:21:10,0.3569206
18949,11026,2023-01-13 06:24:10,0.3569206
18950,11033,2023-01-13 06:31:10,0.3569206
18951,11035,2023-01-13 06:33:10,0.3569206
18952,11037,2023-01-13 06:35:10,0.3569206
18953,11061,2023-01-13 06:59:10,0.3569206
18954,11066,2023-01-13 07:04:10,0.3569206
18955,11067,2023-01-13 07:05:10,0.3569206
18956,11069,2023-01-13 07:07:10,0.3569206
18957,11074,2023-01-13 07:12:10,0.3569206
18958,11075,2023-01-13 07:13:10,0.3569206
18959,11081,2023-01-13 07:19:10,0.3569206
18960,11082,2023-01-13 07:20:10,0.3569206
18961,11083,2023-01-13 07:21:10,0.3569206
18962,11084,2023-01-13 07:22:10,0.3569206
18963,11087,2023-01-13 07:25:10,0.3569206
18964,11090,2023-01-13 07:28:10,0.3569206
18965,11091,2023-01-13 07:29:10,0.3569206
18966,11094,2023-01-13 07:32:10,0.3569206
18967,11096,2023-01-13 07:34:11,0.3569206
18968,11113,2023-01-13 07:51:10,0.3569206
18969,11124,2023-01-13 08:02:11,0.3569206
18970,11131,2023-01-13 08:09:10,0.3569206
18971,11136,2023-01-13 08:14:09,0.3569206
18972,11143,2023-01-13 08:21:10,0.3569206
18973,11147,2023-01-13 08:25:10,0.3569206
18974,11150,2023-01-13 08:28:10,0.3569206
18975,11155,2023-01-13 08:33:09,0.3569206
18976,11159,2023-01-13 08:37:10,0.3569206
18977,11161,2023-01-13 08:39:10,0.3569206
18978,11163,2023-01-13 08:41:10,0.3569206
18979,11165,2023-01-13 08:43:09,0.3569206
18980,11170,2023-01-13 08:48:09,0.3569206
18981,11177,2023-01-13 08:55:10,0.3569206
18982,11181,2023-01-13 08:59:10,0.3569206
18983,11184,2023-01-13 09:02:10,0.3569206
18984,11189,2023-01-13 09:07:10,0.3569206
18985,11194,2023-01-13 09:12:10,0.3569206
18986,11200,2023-01-13 09:18:10,0.3569206
18987,11209,2023-01-13 09:27:10,0.3569206
18988,11220,2023-01-13 09:38:10,0.3569206
18989,11225,2023-01-13 09:43:09,0.3569206
18990,11235,2023-01-13 09:53:10,0.3569206
18991,11238,2023-01-13 09:56:10,0.3569206
18992,11250,2023-01-13 10:08:10,0.3569206
18993,11251,2023-01-13 10:09:11,0.3569206
18994,11258,2023-01-13 10:16:10,0.3569206
18995,11259,2023-01-13 10:17:10,0.3569206
18996,11260,2023-01-13 10:18:10,0.3569206
18997,11262,2023-01-13 10:20:10,0.3569206
18998,11277,2023-01-13 10:35:09,0.3569206
18999,11284,2023-01-13 10:42:09,0.3569206
19000,11287,2023-01-13 10:45:10,0.3569206
19001,11290,2023-01-13 10:48:10,0.3569206
19002,11291,2023-01-13 10:49:10,0.3569206
19003,11293,2023-01-13 10:51:10,0.3569206
19004,11295,2023-01-13 10:53:09,0.3569206
19005,11298,2023-01-13 10:56:10,0.3569206
19006,11303,2023-01-13 11:01:10,0.3569206
19007,11308,2023-01-13 11:06:10,0.3569206
19008,11312,2023-01-13 11:10:09,0.3569206
19009,11314,2023-01-13 11:12:10,0.3569206
19010,11315,2023-01-13 11:13:10,0.3569206
19011,11317,2023-01-13 11:15:10,0.3569206
19012,11323,2023-01-13 11:21:10,0.3569206
19013,11327,2023-01-13 11:25:10,0.3569206
19014,11333,2023-01-13 11:31:10,0.3569206
19015,11335,2023-01-13 11:33:10,0.3569206
19016,11336,2023-01-13 11:34:10,0.3569206
19017,11339,2023-01-13 11:37:10,0.3569206
19018,11340,2023-01-13 11:38:10,0.3569206
19019,11346,2023-01-13 11:44:10,0.3569206
19020,11349,2023-01-13 11:47:10,0.3569206
19021,11351,2023-01-13 11:49:09,0.3569206
19022,11353,2023-01-13 11:51:10,0.3569206
19023,11357,2023-01-13 11:55:10,0.3569206
19024,11360,2023-01-13 11:58:10,0.3569206
19025,11374,2023-01-13 12:12:10,0.3569206
19026,11377,2023-01-13 12:15:10,0.3569206
19027,11383,2023-01-13 12:21:10,0.3569206
19028,11400,2023-01-13 12:38:09,0.3569206
19029,11406,2023-01-13 12:44:10,0.3569206
19030,11420,2023-01-13 12:58:10,0.3569206
19031,11429,2023-01-13 13:07:10,0.3569206
19032,11434,2023-01-13 13:12:10,0.3569206
19033,11435,2023-01-13 13:13:10,0.3569206
19034,11439,2023-01-13 13:17:10,0.3569206
19035,11440,2023-01-13 13:18:10,0.3569206
19036,11442,2023-01-13 13:20:10,0.3569206
19037,11446,2023-01-13 13:24:10,0.3569206
19038,11452,2023-01-13 13:30:10,0.3569206
19039,11472,2023-01-13 13:50:10,0.3569206
19040,11473,2023-01-13 13:51:09,0.3569206
19041,11481,2023-01-13 13:59:09,0.3569206
19042,11485,2023-01-13 14:03:10,0.3569206
19043,11493,2023-01-13 14:11:09,0.3569206
19044,11494,2023-01-13 14:12:10,0.3569206
19045,11503,2023-01-13 14:21:11,0.3569206
19046,11505,2023-01-13 14:23:10,0.3569206
19047,11509,2023-01-13 14:27:10,0.3569206
19048,11513,2023-01-13 14:31:10,0.3569206
19049,11514,2023-01-13 14:32:10,0.3569206
19050,11515,2023-01-13 14:33:10,0.3569206
19051,11517,2023-01-13 14:35:10,0.3569206
19052,11518,2023-01-13 14:36:10,0.3569206
19053,11520,2023-01-13 14:38:10,0.3569206
19054,11534,2023-01-13 14:52:10,0.3569206
19055,11537,2023-01-13 14:55:10,0.3569206
19056,11538,2023-01-13 14:56:10,0.3569206
19057,11542,2023-01-13 15:00:09,0.3569206
19058,11543,2023-01-13 15:01:10,0.3569206
19059,11544,2023-01-13 15:02:10,0.3569206
19060,11545,2023-01-13 15:03:10,0.3569206
19061,11546,2023-01-13 15:04:10,0.3569206
19062,11547,2023-01-13 15:05:10,0.3569206
19063,11555,2023-01-13 15:13:10,0.3569206
19064,11556,2023-01-13 15:14:10,0.3569206
19065,11562,2023-01-13 15:20:10,0.3569206
19066,11565,2023-01-13 15:23:10,0.3569206
19067,11572,2023-01-13 15:30:10,0.3569206
19068,11575,2023-01-13 15:33:10,0.3569206
19069,11584,2023-01-13 15:42:10,0.3569206
19070,11587,2023-01-13 15:45:10,0.3569206
19071,11595,2023-01-13 15:53:09,0.3569206
19072,11602,2023-01-13 16:00:10,0.3569206
19073,11604,2023-01-13 16:02:10,0.3569206
19074,11611,2023-01-13 16:09:10,0.3569206
19075,11614,2023-01-13 16:12:10,0.3569206
19076,11615,2023-01-13 16:13:10,0.3569206
19077,11618,2023-01-13 16:16:10,0.3569206
19078,11619,2023-01-13 16:17:10,0.3569206
19079,11622,2023-01-13 16:20:10,0.3569206
19080,11625,2023-01-13 16:23:10,0.3569206
19081,11630,2023-01-13 16:28:09,0.3569206
19082,11649,2023-01-13 16:47:09,0.3569206
19083,11650,2023-01-13 16:48:10,0.3569206
19084,11651,2023-01-13 16:49:10,0.3569206
19085,11654,2023-01-13 16:52:10,0.3569206
19086,11659,2023-01-13 16:57:10,0.3569206
19087,11660,2023-01-13 16:58:10,0.3569206
19088,11672,2023-01-13 17:10:10,0.3569206
19089,11675,2023-01-13 17:13:10,0.3569206
19090,11676,2023-01-13 17:14:10,0.3569206
19091,11681,2023-01-13 17:19:10,0.3569206
19092,11687,2023-01-13 17:25:09,0.3569206
19093,11688,2023-01-13 17:26:10,0.3569206
19094,11695,2023-01-13 17:33:10,0.3569206
19095,11706,2023-01-13 17:44:10,0.3569206
19096,11707,2023-01-13 17:45:09,0.3569206
19097,11730,2023-01-13 18:08:10,0.3569206
